"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38764","search, add to cart, view and remove product (POM)","","2026-08-11","passed","2026-08-11","","product.spec.ts","",""
"","20227","search, add to cart, view and remove product (POM)","chrome","2026-08-11","passed","2026-08-11","","product.spec.ts","",""
